Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Unit,Y1950,Y1951,Y1952,Y1953,Y1954,Y1955,Y1956,Y1957,Y1958,Y1959,Y1960,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023,Y2024,Y2025,Y2026,Y2027,Y2028,Y2029,Y2030,Y2031,Y2032,Y2033,Y2034,Y2035,Y2036,Y2037,Y2038,Y2039,Y2040,Y2041,Y2042,Y2043,Y2044,Y2045,Y2046,Y2047,Y2048,Y2049,Y2050,Y2051,Y2052,Y2053,Y2054,Y2055,Y2056,Y2057,Y2058,Y2059,Y2060,Y2061,Y2062,Y2063,Y2064,Y2065,Y2066,Y2067,Y2068,Y2069,Y2070,Y2071,Y2072,Y2073,Y2074,Y2075,Y2076,Y2077,Y2078,Y2079,Y2080,Y2081,Y2082,Y2083,Y2084,Y2085,Y2086,Y2087,Y2088,Y2089,Y2090,Y2091,Y2092,Y2093,Y2094,Y2095,Y2096,Y2097,Y2098,Y2099,Y2100
"5","'016","American Samoa","3010","Population - Est. & Proj.","511","Total Population - Both sexes","1000 No","19.043000","19.425000","19.553000","19.666000","19.759000","19.858000","19.936000","19.958000","19.930000","19.909000","20.133000","20.666000","21.298000","21.966000","22.673000","23.406000","24.136000","24.863000","25.614000","26.375000","27.026000","27.533000","27.995000","28.436000","28.875000","29.390000","29.959000","30.521000","31.076000","31.611000","32.403000","33.584000","34.909000","36.271000","37.667000","39.103000","40.571000","42.072000","43.615000","45.191000","46.640000","47.882000","49.038000","50.159000","51.251000","52.316000","53.353000","54.362000","55.334000","56.248000","56.855000","57.053000","57.062000","56.971000","56.818000","56.617000","56.374000","56.113000","55.828000","55.528000","55.228000","54.895000","54.489000","54.006000","53.466000","52.878000","52.245000","51.586000","50.908000","50.209000","49.761000","49.225000","48.342000","47.521000","46.765000","46.029000","45.319000","44.654000","44.059000","43.491000","42.958000","42.477000","42.026000","41.600000","41.205000","40.843000","40.510000","40.206000","39.925000","39.650000","39.386000","39.147000","38.935000","38.741000","38.548000","38.371000","38.205000","38.026000","37.864000","37.708000","37.545000","37.387000","37.221000","37.050000","36.874000","36.691000","36.499000","36.299000","36.105000","35.920000","35.741000","35.569000","35.397000","35.234000","35.084000","34.944000","34.815000","34.691000","34.584000","34.495000","34.415000","34.343000","34.275000","34.218000","34.173000","34.136000","34.100000","34.063000","34.034000","34.013000","33.986000","33.954000","33.925000","33.893000","33.853000","33.809000","33.762000","33.711000","33.656000","33.594000","33.516000","33.425000","33.331000","33.224000","33.108000","32.987000","32.861000","32.727000","32.582000","32.437000","32.294000"
"5","'016","American Samoa","3010","Population - Est. & Proj.","512","Total Population - Male","1000 No","9.886000","10.069000","10.126000","10.180000","10.228000","10.284000","10.333000","10.354000","10.360000","10.374000","10.505000","10.774000","11.089000","11.422000","11.774000","12.146000","12.515000","12.883000","13.266000","13.652000","13.987000","14.252000","14.492000","14.723000","14.951000","15.216000","15.510000","15.808000","16.108000","16.385000","16.791000","17.407000","18.099000","18.809000","19.538000","20.291000","21.064000","21.854000","22.665000","23.498000","24.244000","24.852000","25.410000","25.952000","26.485000","27.003000","27.509000","27.999000","28.468000","28.899000","29.168000","29.227000","29.195000","29.121000","29.018000","28.890000","28.743000","28.590000","28.419000","28.231000","28.058000","27.887000","27.684000","27.441000","27.163000","26.860000","26.531000","26.180000","25.811000","25.422000","25.170000","24.888000","24.430000","24.002000","23.602000","23.206000","22.823000","22.462000","22.138000","21.828000","21.535000","21.271000","21.023000","20.783000","20.558000","20.356000","20.169000","19.997000","19.835000","19.681000","19.534000","19.398000","19.273000","19.162000","19.055000","18.954000","18.861000","18.767000","18.677000","18.593000","18.507000","18.422000","18.339000","18.253000","18.165000","18.073000","17.980000","17.883000","17.788000","17.701000","17.618000","17.535000","17.453000","17.381000","17.313000","17.248000","17.190000","17.137000","17.092000","17.054000","17.018000","16.988000","16.962000","16.938000","16.921000","16.909000","16.897000","16.880000","16.868000","16.862000","16.852000","16.837000","16.820000","16.805000","16.784000","16.763000","16.739000","16.710000","16.682000","16.650000","16.608000","16.561000","16.515000","16.462000","16.403000","16.344000","16.284000","16.223000","16.156000","16.092000","16.029000"
"5","'016","American Samoa","3010","Population - Est. & Proj.","513","Total Population - Female","1000 No","9.156000","9.356000","9.427000","9.486000","9.531000","9.574000","9.604000","9.604000","9.571000","9.534000","9.627000","9.891000","10.209000","10.544000","10.899000","11.260000","11.620000","11.980000","12.348000","12.722000","13.039000","13.281000","13.503000","13.714000","13.924000","14.174000","14.449000","14.713000","14.968000","15.226000","15.612000","16.178000","16.811000","17.462000","18.130000","18.813000","19.508000","20.218000","20.950000","21.692000","22.396000","23.030000","23.629000","24.207000","24.767000","25.313000","25.845000","26.363000","26.866000","27.349000","27.687000","27.826000","27.866000","27.849000","27.800000","27.727000","27.631000","27.523000","27.409000","27.297000","27.171000","27.009000","26.805000","26.566000","26.303000","26.017000","25.713000","25.406000","25.098000","24.788000","24.591000","24.337000","23.912000","23.520000","23.163000","22.823000","22.496000","22.192000","21.922000","21.663000","21.422000","21.206000","21.003000","20.817000","20.646000","20.487000","20.340000","20.210000","20.090000","19.969000","19.852000","19.750000","19.662000","19.579000","19.494000","19.417000","19.344000","19.260000","19.186000","19.115000","19.038000","18.965000","18.883000","18.797000","18.709000","18.618000","18.520000","18.416000","18.318000","18.219000","18.123000","18.034000","17.944000","17.854000","17.770000","17.697000","17.625000","17.554000","17.492000","17.442000","17.397000","17.354000","17.314000","17.280000","17.253000","17.227000","17.203000","17.183000","17.166000","17.151000","17.134000","17.117000","17.105000","17.088000","17.069000","17.046000","17.023000","17.000000","16.974000","16.945000","16.907000","16.863000","16.816000","16.763000","16.704000","16.643000","16.578000","16.505000","16.426000","16.345000","16.265000"
"5","'016","American Samoa","3010","Population - Est. & Proj.","551","Rural population","1000 No","7.241000","7.289000","7.293000","7.256000","7.186000","7.089000","6.984000","6.878000","6.794000","6.753000","6.762000","6.834000","6.954000","7.113000","7.283000","7.448000","7.600000","7.745000","7.876000","7.990000","8.083000","8.156000","8.211000","8.247000","8.266000","8.275000","8.266000","8.249000","8.243000","8.276000","8.332000","8.359000","8.426000","8.523000","8.629000","8.726000","8.818000","8.898000","8.959000","8.999000","8.962000","8.763000","8.535000","8.291000","8.037000","7.782000","7.527000","7.268000","7.006000","6.738000","6.565000","6.695000","6.816000","6.919000","6.994000","7.035000","7.038000","7.006000","6.958000","6.918000","6.902000","6.914000","6.948000","6.997000","7.047000","7.088000","7.118000","7.139000","7.153000","7.162000","7.169000","7.172000","7.172000","7.165000","7.155000","7.138000","7.116000","7.088000","7.054000","7.015000","6.971000","6.921000","6.864000","6.803000","6.732000","6.654000","6.566000","6.477000","6.385000","6.292000","6.198000","6.103000","6.007000","5.911000","5.815000","5.718000","5.622000","5.525000","5.430000","5.334000","5.241000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5","'016","American Samoa","3010","Population - Est. & Proj.","561","Urban population","1000 No","11.699000","12.007000","12.247000","12.421000","12.543000","12.613000","12.668000","12.720000","12.808000","12.981000","13.251000","13.652000","14.163000","14.769000","15.415000","16.072000","16.721000","17.371000","18.009000","18.624000","19.209000","19.760000","20.281000","20.767000","21.222000","21.657000","22.055000","22.440000","22.859000","23.397000","24.125000","25.134000","26.312000","27.637000","29.059000","30.515000","32.019000","33.552000","35.088000","36.594000","38.076000","39.612000","41.058000","42.429000","43.766000","45.086000","46.402000","47.673000","48.895000","50.032000","50.956000","51.480000","51.915000","52.198000","52.270000","52.083000","51.612000","50.897000","50.072000","49.309000","48.735000","48.406000","48.282000","48.310000","48.390000","48.449000","48.481000","48.502000","48.526000","48.565000","48.630000","48.727000","48.843000","48.967000","49.111000","49.264000","49.432000","49.602000","49.783000","49.974000","50.176000","50.385000","50.600000","50.819000","51.020000","51.202000","51.359000","51.497000","51.602000","51.686000","51.750000","51.798000","51.825000","51.837000","51.835000","51.808000","51.774000","51.722000","51.664000","51.593000","51.518000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10","'036","Australia","3010","Population - Est. & Proj.","511","Total Population - Both sexes","1000 No","8176.750000","8418.610000","8630.704000","8816.081000","8999.383000","9205.181000","9424.662000","9638.775000","9847.637000","10060.036000","10280.813000","10500.443000","10707.236000","10913.265000","11128.251000","11357.477000","11592.485000","11810.519000","12030.013000","12272.380000","12599.411000","12997.964000","13304.896000","13518.685000","13719.495000","13893.989000","14046.755000","14203.508000","14367.098000","14533.035000","14721.347000","14949.202000","15192.485000","15414.893000","15620.653000","15835.747000","16069.633000","16322.269000","16594.099000","16869.362000","17126.298000","17353.193000","17549.288000","17722.911000","17897.433000","18095.344000","18305.307000","18504.912000","18701.717000","18909.981000","19132.471000","19365.433000","19595.355000","19819.454000","20046.677000","20294.490000","20590.559000","20954.549000","21370.589000","21783.011000","22141.580000","22479.775000","22852.644000","23236.270000","23595.600000","23948.002000","24329.963000","24731.038000","25119.706000","25482.714000","25743.791000","25956.418000","26200.984000","26451.124000","26713.205000","26974.026000","27227.096000","27474.271000","27718.838000","27956.571000","28188.539000","28417.794000","28641.922000","28861.602000","29078.992000","29296.168000","29513.613000","29726.637000","29938.042000","30148.427000","30357.450000","30570.272000","30786.334000","31002.214000","31216.093000","31431.123000","31650.488000","31866.219000","32081.621000","32297.180000","32506.969000","32716.087000","32921.908000","33125.573000","33331.249000","33539.309000","33745.342000","33949.054000","34156.815000","34362.634000","34562.683000","34764.692000","34969.212000","35175.465000","35377.580000","35577.439000","35784.852000","35997.266000","36211.023000","36424.702000","36635.122000","36839.673000","37041.408000","37245.058000","37451.853000","37659.585000","37865.664000","38073.800000","38284.007000","38492.857000","38700.844000","38913.382000","39127.226000","39341.144000","39552.738000","39759.318000","39970.333000","40188.433000","40416.300000","40646.491000","40876.704000","41111.420000","41344.709000","41574.723000","41797.144000","42016.474000","42243.353000","42477.126000","42706.735000","42926.634000","43143.685000"
"10","'036","Australia","3010","Population - Est. & Proj.","512","Total Population - Male","1000 No","4120.234000","4252.381000","4366.635000","4462.017000","4553.711000","4659.556000","4773.213000","4879.703000","4979.628000","5083.097000","5194.822000","5304.595000","5403.605000","5502.681000","5608.551000","5722.053000","5837.972000","5945.205000","6053.925000","6174.659000","6336.953000","6534.046000","6685.508000","6790.466000","6887.952000","6970.141000","7039.845000","7111.254000","7186.302000","7263.167000","7352.071000","7463.244000","7585.541000","7697.925000","7801.044000","7909.731000","8027.100000","8150.532000","8282.468000","8417.256000","8542.423000","8651.048000","8743.914000","8826.200000","8909.883000","9005.246000","9104.990000","9198.430000","9290.782000","9389.605000","9496.308000","9610.324000","9725.459000","9838.257000","9952.848000","10078.353000","10229.306000","10416.912000","10632.551000","10844.034000","11023.077000","11189.241000","11372.623000","11558.449000","11727.908000","11892.488000","12074.040000","12270.986000","12465.559000","12645.913000","12773.754000","12879.362000","13000.471000","13123.656000","13254.658000","13384.996000","13511.184000","13634.192000","13755.656000","13873.480000","13988.268000","14101.568000","14212.160000","14320.547000","14427.844000","14535.094000","14642.626000","14748.141000","14853.100000","14957.765000","15062.013000","15168.495000","15276.895000","15385.456000","15493.336000","15602.103000","15713.256000","15822.810000","15932.450000","16042.271000","16149.221000","16255.906000","16360.986000","16465.000000","16570.077000","16676.411000","16781.724000","16885.885000","16992.077000","17097.239000","17199.407000","17302.501000","17406.761000","17511.793000","17614.656000","17716.308000","17821.704000","17929.541000","18037.889000","18146.027000","18252.375000","18355.660000","18457.413000","18560.044000","18664.286000","18768.995000","18872.823000","18977.615000","19083.519000","19188.850000","19293.863000","19401.343000","19509.638000","19618.021000","19725.234000","19829.772000","19936.269000","20046.103000","20160.580000","20275.906000","20390.860000","20507.664000","20623.319000","20736.915000","20846.293000","20953.730000","21064.607000","21178.622000","21290.296000","21396.953000","21502.031000"
"10","'036","Australia","3010","Population - Est. & Proj.","513","Total Population - Female","1000 No","4056.515000","4166.230000","4264.069000","4354.064000","4445.672000","4545.624000","4651.448000","4759.072000","4868.008000","4976.939000","5085.992000","5195.849000","5303.631000","5410.584000","5519.699000","5635.424000","5754.513000","5865.314000","5976.088000","6097.721000","6262.458000","6463.918000","6619.388000","6728.220000","6831.543000","6923.849000","7006.910000","7092.255000","7180.796000","7269.868000","7369.276000","7485.958000","7606.944000","7716.968000","7819.609000","7926.016000","8042.533000","8171.737000","8311.631000","8452.105000","8583.875000","8702.145000","8805.375000","8896.711000","8987.550000","9090.098000","9200.317000","9306.483000","9410.934000","9520.376000","9636.164000","9755.109000","9869.897000","9981.197000","10093.829000","10216.137000","10361.254000","10537.637000","10738.038000","10938.977000","11118.504000","11290.534000","11480.021000","11677.822000","11867.692000","12055.514000","12255.924000","12460.053000","12654.146000","12836.801000","12970.037000","13077.055000","13200.513000","13327.469000","13458.547000","13589.031000","13715.912000","13840.079000","13963.182000","14083.092000","14200.272000","14316.226000","14429.762000","14541.055000","14651.148000","14761.074000","14870.987000","14978.496000","15084.942000","15190.662000","15295.437000","15401.778000","15509.439000","15616.758000","15722.757000","15829.020000","15937.231000","16043.409000","16149.172000","16254.909000","16357.748000","16460.181000","16560.923000","16660.573000","16761.172000","16862.898000","16963.619000","17063.169000","17164.738000","17265.394000","17363.276000","17462.191000","17562.451000","17663.673000","17762.925000","17861.130000","17963.147000","18067.726000","18173.134000","18278.675000","18382.748000","18484.013000","18583.995000","18685.015000","18787.567000","18890.590000","18992.840000","19096.186000","19200.488000","19304.007000","19406.981000","19512.039000","19617.589000","19723.123000","19827.504000","19929.546000","20034.064000","20142.330000","20255.719000","20370.585000","20485.844000","20603.755000","20721.390000","20837.807000","20950.851000","21062.745000","21178.745000","21298.503000","21416.438000","21529.681000","21641.654000"
"10","'036","Australia","3010","Population - Est. & Proj.","551","Rural population","1000 No","1880.542000","1893.798000","1899.419000","1901.127000","1901.248000","1901.364000","1902.036000","1903.278000","1904.153000","1903.591000","1900.582000","1895.053000","1900.134000","1905.246000","1912.723000","1924.050000","1939.746000","1970.805000","2002.585000","2031.523000","2055.033000","2072.540000","2084.941000","2093.306000","2099.075000","2103.492000","2106.669000","2108.693000","2110.358000","2112.711000","2116.451000","2121.917000","2155.317000","2190.814000","2228.405000","2267.941000","2309.670000","2353.333000","2397.711000","2441.137000","2482.446000","2521.183000","2573.024000","2625.295000","2677.339000","2729.864000","2783.238000","2837.374000","2892.475000","2948.527000","3005.744000","3063.632000","3072.827000","3084.036000","3099.437000","3120.469000","3147.693000","3179.302000","3213.567000","3247.226000","3277.772000","3304.468000","3331.639000","3356.405000","3379.903000","3403.025000","3425.805000","3446.638000","3465.207000","3481.222000","3494.472000","3504.916000","3512.683000","3517.928000","3520.881000","3521.711000","3520.487000","3517.194000","3511.809000","3504.277000","3494.581000","3482.763000","3468.913000","3453.117000","3435.475000","3416.081000","3395.003000","3372.306000","3348.085000","3322.442000","3295.475000","3267.268000","3237.942000","3208.452000","3178.917000","3149.359000","3119.799000","3090.227000","3060.584000","3030.790000","3000.796000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10","'036","Australia","3010","Population - Est. & Proj.","561","Urban population","1000 No","6296.800000","6518.806000","6721.551000","6915.775000","7109.942000","7309.544000","7517.232000","7732.550000","7952.796000","8173.150000","8389.125000","8598.502000","8791.555000","8989.024000","9202.488000","9439.263000","9703.705000","9978.552000","10262.502000","10536.777000","10787.874000","11011.617000","11211.931000","11393.132000","11562.973000","11727.714000","11887.954000","12043.372000","12198.940000","12360.531000","12532.663000","12716.577000","12885.748000","13066.544000","13258.809000","13461.702000","13676.494000","13901.602000","14129.719000","14351.157000","14558.985000","14750.691000","14912.924000","15062.184000","15205.398000","15346.879000","15488.447000","15630.214000","15772.570000","15915.585000","16060.093000","16204.901000","16402.364000","16612.936000","16848.992000","17118.434000","17425.913000","17767.362000","18128.926000","18491.814000","18842.292000","19175.331000","19490.210000","19794.324000","20094.765000","20396.531000","20700.043000","21003.923000","21307.040000","21607.414000","21903.705000","22195.539000","22483.604000","22768.759000","23052.351000","23335.357000","23618.123000","23900.409000","24181.871000","24461.916000","24740.161000","25016.591000","25291.520000","25565.215000","25838.056000","26110.367000","26382.255000","26653.795000","26925.269000","27196.978000","27469.166000","27741.808000","28014.861000","28287.606000","28560.189000","28832.697000","29105.229000","29377.587000","29649.076000","29918.791000","30186.022000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"47","'184","Cook Islands","3010","Population - Est. & Proj.","511","Total Population - Both sexes","1000 No","14.693000","15.054000","15.339000","15.608000","15.887000","16.168000","16.433000","16.687000","16.968000","17.293000","17.662000","18.038000","18.284000","18.422000","18.585000","18.779000","19.015000","19.326000","19.693000","20.081000","20.488000","20.869000","20.770000","20.188000","19.558000","18.896000","18.248000","17.910000","17.849000","17.778000","17.697000","17.605000","17.471000","17.279000","17.063000","16.832000","16.602000","16.578000","16.753000","16.931000","17.120000","17.309000","17.471000","17.591000","17.689000","17.781000","17.855000","17.622000","17.079000","16.483000","15.854000","15.235000","14.967000","15.027000","15.078000","15.132000","15.206000","15.495000","15.981000","16.475000","16.976000","17.455000","17.661000","17.605000","17.532000","17.446000","17.332000","17.047000","16.596000","16.129000","15.643000","15.182000","14.723000","14.222000","13.729000","13.263000","12.826000","12.434000","12.087000","11.773000","11.495000","11.261000","11.056000","10.870000","10.701000","10.537000","10.386000","10.261000","10.143000","10.040000","9.947000","9.859000","9.799000","9.743000","9.685000","9.626000","9.569000","9.511000","9.454000","9.399000","9.337000","9.276000","9.210000","9.139000","9.067000","8.994000","8.921000","8.850000","8.780000","8.711000","8.645000","8.574000","8.508000","8.453000","8.403000","8.354000","8.309000","8.272000","8.244000","8.220000","8.191000","8.174000","8.166000","8.161000","8.158000","8.154000","8.151000","8.150000","8.152000","8.157000","8.161000","8.162000","8.164000","8.166000","8.169000","8.170000","8.169000","8.167000","8.160000","8.149000","8.139000","8.126000","8.106000","8.089000","8.072000","8.046000","8.020000","7.997000","7.971000","7.937000","7.904000"
"47","'184","Cook Islands","3010","Population - Est. & Proj.","512","Total Population - Male","1000 No","7.580000","7.763000","7.927000","8.090000","8.255000","8.412000","8.557000","8.684000","8.810000","8.956000","9.118000","9.282000","9.383000","9.427000","9.482000","9.553000","9.655000","9.818000","10.024000","10.245000","10.477000","10.697000","10.659000","10.363000","10.044000","9.705000","9.368000","9.204000","9.188000","9.167000","9.139000","9.100000","9.043000","8.961000","8.863000","8.752000","8.638000","8.624000","8.704000","8.790000","8.880000","8.977000","9.053000","9.099000","9.133000","9.166000","9.199000","9.079000","8.800000","8.495000","8.174000","7.858000","7.715000","7.732000","7.742000","7.754000","7.774000","7.886000","8.082000","8.278000","8.479000","8.672000","8.743000","8.694000","8.637000","8.573000","8.499000","8.357000","8.149000","7.934000","7.705000","7.476000","7.237000","6.978000","6.723000","6.481000","6.255000","6.050000","5.867000","5.704000","5.558000","5.434000","5.325000","5.226000","5.136000","5.048000","4.968000","4.899000","4.837000","4.786000","4.737000","4.691000","4.664000","4.637000","4.605000","4.578000","4.553000","4.524000","4.498000","4.476000","4.450000","4.422000","4.393000","4.364000","4.337000","4.306000","4.274000","4.246000","4.220000","4.194000","4.168000","4.143000","4.120000","4.100000","4.080000","4.064000","4.053000","4.041000","4.036000","4.035000","4.029000","4.027000","4.030000","4.037000","4.043000","4.048000","4.054000","4.061000","4.068000","4.074000","4.080000","4.087000","4.093000","4.098000","4.101000","4.106000","4.110000","4.112000","4.109000","4.104000","4.098000","4.093000","4.082000","4.071000","4.062000","4.050000","4.034000","4.022000","4.008000","3.991000","3.974000"
"47","'184","Cook Islands","3010","Population - Est. & Proj.","513","Total Population - Female","1000 No","7.113000","7.292000","7.412000","7.518000","7.632000","7.756000","7.877000","8.004000","8.158000","8.337000","8.543000","8.757000","8.902000","8.996000","9.104000","9.226000","9.360000","9.508000","9.668000","9.836000","10.011000","10.172000","10.111000","9.825000","9.514000","9.191000","8.880000","8.707000","8.661000","8.611000","8.557000","8.505000","8.428000","8.319000","8.200000","8.080000","7.963000","7.954000","8.048000","8.142000","8.239000","8.332000","8.418000","8.492000","8.556000","8.614000","8.656000","8.543000","8.280000","7.989000","7.681000","7.377000","7.252000","7.295000","7.335000","7.378000","7.433000","7.609000","7.899000","8.197000","8.497000","8.783000","8.918000","8.911000","8.895000","8.873000","8.833000","8.690000","8.448000","8.195000","7.938000","7.707000","7.487000","7.245000","7.006000","6.782000","6.571000","6.384000","6.220000","6.069000","5.938000","5.827000","5.731000","5.644000","5.565000","5.489000","5.418000","5.361000","5.306000","5.255000","5.210000","5.168000","5.135000","5.106000","5.080000","5.048000","5.016000","4.987000","4.956000","4.923000","4.887000","4.854000","4.818000","4.775000","4.731000","4.688000","4.646000","4.604000","4.560000","4.518000","4.476000","4.431000","4.388000","4.353000","4.322000","4.289000","4.257000","4.231000","4.208000","4.185000","4.162000","4.146000","4.136000","4.124000","4.115000","4.106000","4.096000","4.090000","4.085000","4.082000","4.080000","4.075000","4.071000","4.069000","4.068000","4.064000","4.059000","4.056000","4.051000","4.046000","4.040000","4.033000","4.024000","4.018000","4.010000","3.997000","3.986000","3.975000","3.962000","3.946000","3.930000"
